model_id,category,canonical_title,all_titles,num_variants,min_price,all_prices,num_sources
886097,בשמים לאישה,"Paloma Picasso Eau De Parfum 100 ML פלומה פיקאסו אדפ לאישה 100 מ""ל","Paloma Picasso Eau De Parfum 100 ML פלומה פיקאסו אדפ לאישה 100 מ""ל",1,214.0,214.0,1
886459,בשמים לאישה,בושם לאשה Giorgio Armani Si E.D.P 100ml,"בושם לאשה Giorgio Armani Si E.D.P 100ml ||| סי אדפ לאישה 100 מ""ל - ג'ורג'יו ארמני - Giorgio Armani - Si EDP For Women 100ML",2,325.0,"325.0, 379.0",2
886809,בשמים לאישה,בושם לאשה Lancome La Vie Est Belle E.D.P 100ml,בושם לאשה Lancome La Vie Est Belle E.D.P 100ml ||| בושם לאישה Lancome La Vie Est Belle E.D.P 100ml,2,294.0,"294.0, 334.0",2
891873,מגברים לרכב,מגבר לרכב Alpine BBXF1200,מגבר לרכב Alpine BBXF1200,1,420.0,420.0,1
894551,"מקדחות, מברגות ופטישונים",‏פטישון Makita DHR202,‏פטישון Makita DHR202 ||| Makita פטישון נטען 18V + שתי סוללות 3.0H,2,489.0,"489.0, 1419.0",2
901475,בשמים לאישה,בושם לאשה Narciso Rodriguez For Her E.D.T 100ml,בושם לאשה Narciso Rodriguez For Her E.D.T 100ml,1,214.0,214.0,1
904014,בשמים לאישה,בושם לאשה Roberto Cavalli Paradiso E.D.P 75ml,"בושם לאשה Roberto Cavalli Paradiso E.D.P 75ml ||| כל הקטגוריות ||| חשמל ואלקטרוניקה ||| לבית ולגן ||| פנאי וספורט ||| בריאות ויופי ||| מבצעי פסח ||| zap cars ||| טיפוח יופי ובריאות‏ ||| מפרט טכני ||| קנייה בחנות מקומית ||| Roberto Cavalli ||| למפרט המלא > ||| מוצרים דומים ||| Roberto Cavalli Paradiso EDP 75 ml רוברטו קוואלי פרדיסו אדפ לאישה 75 מ""ל ||| בושם לאשה רוברטו קוואלי פרדיסו 75 מ""ל Roberto Cavalli Paradiso E.D.P 75ml ||| בושם לאישה רוברטו קבאלי ROBERTO CAVALLI PARADISO 75 ML E.D.P ||| בושם לאישה 75 מ''ל Roberto Cavalli Paradiso או דה פרפיום E.D.P ||| פרדיסו אדפ לאישה 75 מ""ל - רוברטו קוואלי - Roberto Cavalli - Paradiso EDP For Women 75ML ||| רוברטו קאוולי פרדיסו לאישה אדפ 75 מ""ל ||| בושם לאישה Roberto Cavalli Paradiso E.D.P 75ml ||| בושם לאישה פרדיסו א.ד.פ Roberto Cavalli Paradiso e.d.p ||| PARADISO BY ROBERTO CAVALLI 75ML EDP ||| Roberto Cavalli Paradiso by Roberto Cavalli Eau De Parfum Spray for Women 75 ml ||| רוברטו קוואלי פרדיסו א.ד.פ 75 מ""ל לאישה אריזת טסטר ||| בשמים לגבר ||| ערכות טיפוח ||| פשרה בת""צ אבנצ'יק נ' זאפ גרופ (ת""צ 23008-08-20) ||| פשרה בת""צ כהנים נ' זאפ גרופ (ת""צ 60371-12-19) ||| אודות zap.co.il ||| תנאי שימוש ||| מדריך חנויות ||| נפילת מחירים ||| הקנייה ב-zap ||| ביטולים והחזרות ||| מרכז מידע ותמיכה ||| הצטרפות כחנות ל-zap ||| פרסום באתר ||| ממשק חנויות / יבואנים ||| סופרמרקטים ||| מוצרים מבוקשים ||| שיווק לעסקים ||| [email protected] ||| מדיניות פרטיות ||| Privacy Policy ||| Terms of Service",46,128.0,"128.0, 129.0, 130.0, 137.0, 139.0, 155.0, 159.0, 174.0, 178.0, 180.0, 204.0, 239.0",47
904912,דיו וטונרים,‏ראש דיו  ‏שחור HP 652 F6V25AE BK,‏ראש דיו  ‏שחור HP 652 F6V25AE BK ||| ראש דיו מקורי 652 F6V25AE HP,2,73.0,"73.0, 98.0",2
905975,דיו וטונרים,‏ראש דיו  ‏ציאן מגנטה וצהוב HP 652 F6V24AE Color,‏ראש דיו  ‏ציאן מגנטה וצהוב HP 652 F6V24AE Color,1,70.0,70.0,1
916889,דיו וטונרים,‏טונר  ‏שחור Brother TN2320,‏טונר  ‏שחור Brother TN2320,1,343.0,343.0,1
918425,דיו וטונרים,‏ראש דיו  ‏שחור HP 123 F6V17AE,‏ראש דיו  ‏שחור HP 123 F6V17AE,1,67.0,67.0,1
920551,בשמים לאישה,בושם לאשה Armaf Club De Nuit E.D.P 105ml,בושם לאשה Armaf Club De Nuit E.D.P 105ml,1,84.0,84.0,1
922833,בשמים לאישה,בושם לאשה Narciso Rodriguez Narciso Poudree E.D.P 90ml,"נרסיסו פודרה אדפ לאישה 90 מ""ל - נרסיסו רודריגז - Narciso Rodriguez - Narciso Poudree EDP... ||| בושם לאשה Narciso Rodriguez Narciso Poudree E.D.P 90ml ||| Narciso Rodriguez Poudree EDP 90 ml נרסיסו רודריגז פודרה א.ד.פ 90 מ""ל",3,235.0,"235.0, 239.0, 245.0",3
924873,דיו וטונרים,‏ראש דיו  ‏צהוב HP 953XL F6U18AE,‏ראש דיו  ‏צהוב HP 953XL F6U18AE,1,182.0,182.0,1
924874,דיו וטונרים,‏ראש דיו מג'נטה / אדום ‏ HP 953XL F6U17AE,‏ראש דיו מג'נטה / אדום ‏ HP 953XL F6U17AE,1,182.0,182.0,1
925053,דיו וטונרים,‏ראש דיו ציאן / כחול ‏ 953XL‏ F6U16AE HP,‏ראש דיו ציאן / כחול ‏ 953XL‏ F6U16AE HP,1,182.0,182.0,1
925188,ברזים,‏ברז פרח 305322  ‏חמת,‏ברז פרח 305322  ‏חמת,1,350.0,350.0,1
925189,ברזים,‏ברז סוללה 305375  ‏חמת,‏ברז סוללה 305375  ‏חמת,1,399.0,399.0,1
925193,ברזים,‏ברז ברבור 305323  ‏חמת,‏ברז ברבור 305323  ‏חמת,1,335.0,335.0,1
925195,ברזים,‏ברז פרח 305343  ‏חמת,‏ברז פרח 305343  ‏חמת,1,350.0,350.0,1
926752,בשמים לאישה,בושם לאשה Juliette has a Gun Not A Perfume E.D.P 100ml,בושם לאשה Juliette has a Gun Not A Perfume E.D.P 100ml,1,225.0,225.0,1
928952,דיו וטונרים,‏ראש דיו  ‏שחור HP 903XL BK T6M15AE,ראש דיו HP 903XL T6M15AE מקורי ||| ‏ראש דיו  ‏שחור HP 903XL BK T6M15AE,2,195.0,"195.0, 239.0",2
928955,דיו וטונרים,‏ראש דיו  ‏שחור HP 953XL L0S70AE,‏ראש דיו  ‏שחור HP 953XL L0S70AE ||| ראש דיו HP 953XL L0S70AE מקורי,2,244.0,"244.0, 298.0",2
929123,"מקדחות, מברגות ופטישונים",‏מברגת אימפקט Makita DTD152,‏מברגת אימפקט Makita DTD152 ||| Makita מברגת אימפקט 18V + שתי סוללות 4.0AH,2,254.0,"254.0, 1199.0",2
929124,"מקדחות, מברגות ופטישונים",‏מברגת אימפקט Makita TD110,‏מברגת אימפקט Makita TD110 ||| Makita מברגת אימפקט 12V (גוף בלבד),2,245.0,"245.0, 297.0",2
933257,בשמים לאישה,בושם לאשה Thierry Mugler Alien E.D.P 90ml,בושם לאשה Thierry Mugler Alien E.D.P 90ml ||| בושם לאשה Thierry Mugler Alien Refillable E.D.P 90ml,2,258.0,258.0,2
938139,מגברים לרכב,מגבר לרכב Pioneer GM-A6704,מגבר לרכב Pioneer GM-A6704,1,420.0,420.0,1
939629,ברזים,‏ברז נשלף 30274000 Grohe,‏ברז נשלף 30274000 Grohe,1,900.0,900.0,1
943060,משקפי שמש,משקפי שמש Ray Ban JUSTIN CLASSIC RB4165 710/13,משקפי שמש Ray Ban JUSTIN CLASSIC RB4165 710/13,1,550.0,550.0,1
943709,משקפי שמש,משקפי שמש Ray Ban CLUBMASTER CLASSIC RB3016 W0365,"משקפי שמש Ray Ban CLUBMASTER CLASSIC RB3016 W0365 ||| כל הקטגוריות ||| חשמל ואלקטרוניקה ||| לבית ולגן ||| פנאי וספורט ||| בריאות ויופי ||| מבצעי פסח ||| zap cars ||| טיפוח יופי ובריאות‏ ||| מפרט טכני ||| קנייה בחנות מקומית ||| למפרט המלא > ||| מוצרים דומים ||| Ray-ban 3016 W0365 ||| RB 3016 W0365 55-21-150 ||| עדשות מגע ||| קרמי הגנה ושיזוף ||| משקפי ראייה ||| מוצרים נוספים של Ray Ban בזאפ ||| פשרה בת""צ אבנצ'יק נ' זאפ גרופ (ת""צ 23008-08-20) ||| פשרה בת""צ כהנים נ' זאפ גרופ (ת""צ 60371-12-19) ||| אודות zap.co.il ||| תנאי שימוש ||| מדריך חנויות ||| נפילת מחירים ||| הקנייה ב-zap ||| ביטולים והחזרות ||| מרכז מידע ותמיכה ||| הצטרפות כחנות ל-zap ||| פרסום באתר ||| ממשק חנויות / יבואנים ||| סופרמרקטים ||| מוצרים מבוקשים ||| שיווק לעסקים ||| [email protected] ||| מדיניות פרטיות ||| Privacy Policy ||| Terms of Service",38,610.0,"610.0, 626.0",38
944095,משקפי שמש,משקפי שמש Ray Ban JUSTIN COLOR MIX RB4165 622/55,משקפי שמש Ray Ban JUSTIN COLOR MIX RB4165 622/55,1,450.0,450.0,1
